name,breakout,poster,doi
Sheng Di,Strategies for increasing the visibility of awards and outputs — White Oak A,,https://doi.org/10.6084/m9.figshare.33401065
Shengli Fu,Strategies for increasing the visibility of awards and outputs — White Oak A,,
Sridhar Radhakrishnan,Current challenges / concerns with AI / quantum Computing — Forest Glen,,
Stace Beaulieu,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session I, Board 8",https://doi.org/10.6084/m9.figshare.33441481
Steven Carr,Sustainability of research software and CI — Strathmore B,"Session IV, Board 37", https://doi.org/10.6084/m9.figshare.33438373
Steven Johnston,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session IV, Board 10",https://doi.org/10.6084/m9.figshare.33379240
Suining He,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session IV, Board 17",
Sujal Dave,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 22",https://doi.org/10.6084/m9.figshare.33466570
Sunita Chandrasekaran,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session II, Board 51",
Sushil Prasad,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 4",
Tabitha Samuel,Building and retaining the CI workforce — Glen Echo,,
Tanu Malik,Future directions for cyberinfrastructure — Strathmore A,"Session IV, Board 14",
Tianyu Zhu,Sustainability of research software and CI — Strathmore B,"Session II, Board 8",
Tianyuan Zhang,Sustainability of research software and CI — Strathmore B,"Session I, Board 37",
T. Andrew Manning,Building and retaining the CI workforce — Glen Echo,"Session I, Board 28",https://doi.org/10.6084/m9.figshare.33488830
Tong Shu,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 17",
Tze Meng Low,Future directions for cyberinfrastructure — Strathmore A,"Session II, Board 18",
Vandana Janeja,Building and retaining the CI workforce — Glen Echo,,
Victoria Coles,Sustainability of research software and CI — Strathmore B,"Session II, Board 39",
Viktor Prasanna,Future directions for cyberinfrastructure — Strathmore A,,https://doi.org/10.6084/m9.figshare.33438604
Vincent Weaver,Sustainability of research software and CI — Strathmore B,"Session IV, Board 23",
Vipin Chaudhary,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session II, Board 6",
Viswanath Nandigam,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session III, Board 43",https://doi.org/10.6084/m9.figshare.33503242
Vito D'orazio,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session IV, Board 47",
Vivak Patel,Current challenges / concerns with AI / quantum Computing — Forest Glen,,
Vyacheslav (Slava) Lukin,,,
Weidong Cao,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 51",
Weiwen Jiang,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session II, Board 27; Session IV, Board 13",https://doi.org/10.6084/m9.figshare.33489478; https://doi.org/10.6084/m9.figshare.33489316
Wen-wen Tung,,,
Wesley Brashear,Sustainability of research software and CI — Strathmore B,"Session II, Board 16",
William Ratcliff,Current challenges / concerns with AI / quantum Computing — Forest Glen,,
Winona Snapp-childs,Future directions for cyberinfrastructure — Strathmore A,"Session III, Board 10; Session IV, Board 45",
Xiang (Susie) Zhao,Building and retaining the CI workforce — Glen Echo,"Session III, Board 14",
Xiangliang Zhang,Future directions for cyberinfrastructure — Strathmore A,"Session I, Board 33",
Xiaolong Tian,,,
Xin Liu,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session IV, Board 49",
Xipeng Shen,Sustainability of research software and CI — Strathmore B,"Session II, Board 42",
Xu Liang,Sustainability of research software and CI — Strathmore B,"Session II, Board 37",
Xuechen Zhang,Building and retaining the CI workforce — Glen Echo,"Session IV, Board 40",https://doi.org/10.6084/m9.figshare.33441325
Xueqiang Wang,Sustainability of research software and CI — Strathmore B,,
Yan Li,Future directions for cyberinfrastructure — Strathmore A,"Session I, Board 34",
Yanjun Pan,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 25",
Yao Ma,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session II, Board 9",
Yong Shi,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session III, Board 50",https://doi.org/10.6084/m9.figshare.33400357
Yu Liu,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session II, Board 11",https://doi.org/10.6084/m9.figshare.33477163
Yu Luo,Future directions for cyberinfrastructure — Strathmore A,"Session III, Board 23",https://doi.org/10.6084/m9.figshare.33442477
Yunpeng Zhang,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B",,
Yusui Chen,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session IV, Board 4",https://doi.org/10.6084/m9.figshare.33456913
Zehua Chen,Sustainability of research software and CI — Strathmore B,"Session III, Board 25",
Zhao Zhang,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session I, Board 41; Session III, Board 2",
Zhe Jiang,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session IV, Board 22",
Zhe Zhang,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session II, Board 52",https://doi.org/10.6084/m9.figshare.33406690
Zhen Ni,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session III, Board 3",https://doi.org/10.6084/m9.figshare.33481279
Zichun Zhong,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session III, Board 4",https://doi.org/10.6084/m9.figshare.33437407
